rf_ohm,cf_f,fc_hz,vout_3uA_mV,fc_pass,gain_pass
48072.60722865724,9.539466866711934e-08,34.70550361699375,144.21782168597173,True,True
47664.06414077554,1.0317471889568907e-07,32.36352117354763,142.9921924223266,True,True
45631.12765845974,1.0289232235312513e-07,33.89814714732192,136.89338297537924,True,True
47908.6746981342,9.91689604808109e-08,33.498874338006246,143.72602409440262,True,True
45227.310128731544,9.908698228002113e-08,35.51426005500808,135.68193038619464,True,True
45096.48241164795,9.817515437472411e-08,35.94809420875638,135.28944723494385,True,True
48615.73857899359,9.924260714131656e-08,32.98717153249024,145.84721573698076,True,True
46423.34225452218,9.840850956804139e-08,34.83782818858136,139.27002676356653,True,True
48905.6003673799,1.0011587365150778e-07,32.50563058195345,146.7168011021397,True,True
46717.23901557264,9.516144907753476e-08,35.79990851923465,140.15171704671792,True,True
46150.00655171037,9.741299523847061e-08,35.4022991422648,138.45001965513111,True,True
46539.96124924016,1.0170757479647232e-07,33.623337161702594,139.61988374772048,True,True
48521.155771069614,9.780952822814271e-08,33.53573508726866,145.56346731320886,True,True
49115.48194326788,1.009668343404172e-07,32.09393597586187,147.34644582980363,True,True
48873.26948251959,9.68923459156327e-08,33.609284547793074,146.61980844755877,True,True
49218.5043143253,9.735616003162032e-08,33.21454318800791,147.65551294297592,True,True
47544.13046683652,9.830384801637506e-08,34.05279033285564,142.63239140050956,True,True
46558.07078497218,9.992286140766646e-08,34.21056866516578,139.67421235491653,True,True
49292.6244977734,9.986247334405412e-08,32.33224577109808,147.8778734933202,True,True
47866.120994061166,1.0142583544162189e-07,32.78259313518076,143.59836298218352,True,True
47458.94484653005,9.857234274512427e-08,34.02099215970414,142.37683453959016,True,True
45806.32061843753,9.715658420814051e-08,35.76205653538246,137.4189618553126,True,True
44691.84474444746,1.0284651256376768e-07,34.62599647784257,134.07553423334238,True,True
46557.59311057955,9.992067125670593e-08,34.2116695264593,139.67277933173867,True,True
48252.51953744014,1.0219816218118506e-07,32.27431626045344,144.75755861232042,True,True
47613.11392890894,9.559647296897705e-08,34.96646082103476,142.83934178672683,True,True
45703.62095088323,9.991360762371587e-08,34.85337844252414,137.1108628526497,True,True
47754.21058284006,1.0118832846384802e-07,32.93654494662062,143.2626317485202,True,True
45731.154362126246,9.949350165564736e-08,34.97947214111265,137.19346308637876,True,True
46671.291661751864,1.0001566374623737e-07,34.0959102917217,140.01387498525557,True,True
46243.57165244798,9.513618063019892e-08,36.17620864760479,138.73071495734393,True,True
46680.3193562438,9.88098872897832e-08,34.50530806767429,140.0409580687314,True,True
48917.45049964509,1.0184904659375691e-07,31.9447393938525,146.7523514989353,True,True
